"Finished","ID","SolarEnergy_1_1","SolarEnergy_2_1","HCost_1_1","HCost_2_1","CompSpend_1_1","CompSpend_2_1","CompSpend_3_1","MATH_1_1","MATH_2_1","LossAgr_1_1","LossAgr_2_1","LossAgr_3_1","AvgTemp_1_1","AvgTemp_2_1","AvgTemp_3_1","Extinction_Total_4","Extinction_AI_4","GCR_Total_4","GCR_AI_4","Extinction_Totalhalf_4","Extinction_AIhalf_4","GCR_Totalhalf_4","GCR_AIhalf_4","ExtinctionTotal_conf","ExtinctionAI_conf","GCR_Total_conf","GCR_AI_conf","ExtTotalHalf_conf","ExtAIhalf_conf","GCR_Totalhalf_conf","GCR_AIhalf_conf"
"True","P2Vdn8kSpy6",0.5,0.2,5,2.5,25000,50000,1e+05,30,75,5,10,20,1.5,1.8,2,NA,NA,NA,NA,1e+05,10000,10000,10000,"","","","","Yes","Yes","Yes","Yes"
"True","PiX09hmMLu5",0.6,0.5,7,6,125,130,135,30,55,0.1,0.1,1,2,2,2.5,NA,NA,NA,NA,25,5,40,30,"","","","","Yes","Yes","Yes","Yes"
"True","P2Jo6mkheCC",3,0.5,5,1.9,250000,40000,6e+05,27,85,20,40,60,0.25,0.6,1.2,3e+07,2e+08,150,250000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pdj72AU2SgT",0.05,0.03,2,1.3,187000,252000,478000,85,96,3,5,7,1.1,1.5,2,1e+08,1e+09,2.5e+07,2e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P5kUmCxDC1h",1.68,1.62,1.5,1.3,140000,148000,154000,10,40,0.1,0.3,0.4,0.9,1.2,1.3,1e+07,1e+07,5e+06,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PyOIqz81T4h",0.05,0.02,5,2,15000,155000,17500,80,90,5,3,1,1.5,1.6,1.8,NA,NA,NA,NA,5e+07,1e+07,10,216,"","","","","Yes","Yes","Yes","Yes"
"True","PSzNbO4h3yE",0.06,0.03,5,1.3,1e+05,120000,150000,30,60,0.5,10,30,1.5,2,3,NA,NA,NA,NA,2000,3000,60,100,"","","","","Yes","Yes","Yes","Yes"
"True","P4fzFBIjVsw",6,2,8,3.5,176000,236000,550000,84,99,0,0,0,1.2,1.6,2.6,1e+12,1e+09,1e+08,1e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PKMwhAnjQsT",0.04,0.02,4,2.5,2e+08,2.1e+08,2.2e+08,13,15,0,0,0,1.1,1.3,1.6,2e+07,1.5e+07,1.2e+07,1e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PzyuMiWY4Jq",0.04,0.03,3,1.3,250000,290000,320000,28,60,0.05,2,8,1.5,2,2.1,NA,NA,NA,NA,10000,20000,50,1000,"","","","","Yes","Yes","Yes","Yes"
"True","Pew6tv2zzQO",5,3,2,1,150000,3e+05,1200000,8,12,1,1,1,1.5,1.7,1.7,1e+15,1e+15,1e+09,1e+11,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PcNKnAmsc7C",0.8,0.5,6.5,2.4,1.8e+11,2.4e+11,6.3e+11,10,30,70,70,70,0.8,1,2,6e+11,4.5e+10,1e+05,3e+09,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P55EtOviLcv",0.6,0.54,5,4,2.66e+08,4.5e+08,1e+09,80,99,1,2,5,1.5,2,1.7,1e+11,5e+11,8.5e+10,4.5e+11,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PomJVPUeanA",0.3,0.5,3,8,180000,3e+05,8e+05,30,35,5,10,20,2,4,8,26,98,98,98,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PMe8OPck68b",0.7,0.86,NA,NA,5e+05,8e+05,2e+07,30,60,10,5,1,0.8,0.86,1,3e+05,1e+06,216,98,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PSQ0iHOQh3f",0.8,0.2,6,2.5,230000,460000,1100000,30,90,0,0.5,3,1.5,2,3,NA,NA,NA,NA,1e+05,2e+05,5000,20000,"","","","","Yes","Yes","Yes","Yes"
"True","PpLNsKTS7im",0.05,0.03,1.5,1,15000,12000,10000,9,15,20,30,45,0.3,0.7,2,1e+07,5e+07,1e+06,5e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P0tPTP4x00v",0.9,0.65,4,1.7,250000,420000,990000,18,56,0.001,0.005,0.01,1.7,2.1,2.5,NA,NA,NA,NA,9500,15000,150,2500,"","","","","Yes","Yes","Yes","Yes"
"True","PYVARDjDafq",0.03,0.02,4.5,1.3,1.6e+08,2e+08,3.2e+08,85,92,2,5,10,1.5,1.7,2,NA,NA,NA,NA,1e+09,1e+10,5e+05,6e+06,"","","","","Yes","Yes","Yes","Yes"
"True","P8eSYyEn626",7,5,10,5,6e+07,1e+08,2e+08,35,70,50,30,20,1,2,4,NA,NA,NA,NA,5,3,3,4,"","","","","Yes","Yes","Yes","Yes"
"True","PBA5i64MmOZ",10000,50000,1.5,2.5,42000,55000,70000,45,60,10,20,60,65,70,80,NA,NA,NA,NA,50,80,10,500,"","","","","Yes","Yes","Yes","Yes"
"True","P91QEqjhcZS",4e+06,4e+06,6,1,2.405e+11,4.505e+11,7.505e+11,9,17,0,1,20,0.2,0.2,0.6,NA,NA,NA,NA,26,2048,216,2048,"","","","","Yes","Yes","Yes","Yes"
"True","PiiUvn24MT1",0.8,0.35,5,2.4,3e+11,5.7e+11,4.4e+12,25,75,1,1,2,1.3,1.6,2.4,NA,NA,NA,NA,50000,1e+11,15,1e+08,"","","","","Yes","Yes","Yes","Yes"
"True","PnQpTAOadM4",0.03,0.01,3,1,1.5e+20,2e+20,3e+11,85,99.5,5,15,25,1.5,1.9,2.5,NA,NA,NA,NA,500,250,20,50,"","","","","Yes","Yes","Yes","Yes"
"True","Peo00AHtfnx",0.04,0.02,5,3,2.72e+08,4.4e+08,1.056e+09,89.2,98.7,40,95,100,1.4,2.2,2,200,2e+07,2,20,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P7hGbwnLdGN",0.75,0.7,1.9,0.95,7e+10,8e+10,1.2e+11,0.005,20,0,0,0.05,1.3,1.6,1.6,NA,NA,NA,NA,20,90,80,105,"","","","","Yes","Yes","Yes","Yes"
"True","P7hugIPGDee",7,3,3,2.5,110000,160000,250000,30,60,5,10,15,0.3,0.6,1,1e+12,1e+09,1e+08,1e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PKiXMstmOmq",35,25,2.25,2,250,375,500,30,50,5,20,50,2,2.5,4,NA,NA,NA,NA,75,500,100,1000,"","","","","Yes","Yes","Yes","Yes"
"True","PMNB4FmJgGC",60,35,5,2,1.35e+08,1.5e+08,1.8e+08,25,55,5,10,20,1.2,1.8,2.3,2500000,8e+06,5e+06,1.2e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PmuAYNBTtsB",5,3,5,2,275000,4e+05,750000,30,50,30,20,10,15,2,25,1e+09,8e+05,1e+05,50000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PG39eJjRnZw",0.05,0.01,6,4,250000,750000,3e+06,25,75,2,15,40,1,1.6,2.5,10,25,5,10,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PGcfJuStZIM",0.05,0.04,6,5,2e+10,2.3e+10,3.2e+11,92,99,0,0,0.001,2,1.8,1,NA,NA,NA,NA,1e+08,2e+07,5e+06,250000,"","","","","Yes","Yes","Yes","Yes"
"True","PWgpknKoS8L",6,3,2.5,1.1,22000,25000,29000,30,60,5,10,15,1.5,2,2.5,1999999,1e+12,1e+09,1e+18,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PvUdANtXhmR",0.06,0.03,3,1.4,1.8e+11,2.3e+11,2.8e+11,30,54,5,7,12,1.5,2,3.6,NA,NA,NA,NA,25000,30000,10000,8900,"","","","","Yes","Yes","Yes","Yes"
"True","PyRdIFnPE8y",0.05,0.04,5,2,1.75e+11,2.75e+11,4e+11,33,65,5,15,25,1.4,1.5,1.8,9e+09,5.9e+10,9.9e+07,3e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PUsPuXxXTge",10,5,4,2,2e+09,5e+09,1e+11,30,100,5,20,40,1.2,2,5,2e+07,5e+07,2e+06,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P7MWGw9GIkm",814,370,5,3,7e+05,1200000,4e+06,8.6,10.2,0.1,1,3,2.2,3.1,5,2500000,3e+07,1e+06,2e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PGirSmcR7br",5,2,NA,NA,2e+05,380000,6e+05,0.85,0.95,0,1e-04,2e-04,0.1,0.3,0.8,NA,NA,NA,NA,1e+12,1e+15,1e+09,1e+14,"","","","","Yes","Yes","Yes","Yes"
"True","PaVBc56tB6K",0.06,NA,1.3,1,2e+05,4e+05,9e+05,10,20,5,10,40,1.9,3,8,NA,NA,NA,NA,1e+06,1e+06,5e+05,50000,"","","","","Yes","Yes","Yes","Yes"
"True","Pns823zNpEm",0.06,0.03,1.5,0.85,370000,5e+05,1020000,7.1,7.4,75,90,70,1.7,5,11,1e+09,5.15e+08,1e+08,5e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P4UwLl2wr2k",0.06,0.04,5,2,130000,150000,2e+05,30,85,7,15,30,0.5,1.5,3,2e+08,1e+08,5e+07,3.5e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pc7S9GQytQV",0.0205,0.015,3,2,1.75e+11,2.5e+11,7.5e+11,85,92.5,15,25,40,1.75,2.5,3,2,10,20,20,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P6mt41LgKCq",6,3,3.1,1.5,175000,275000,450000,15,85,1,3,4,1.1,1.3,1.7,NA,NA,NA,NA,100,100,15,20,"","","","","Yes","Yes","Yes","Yes"
"True","Pu0qkcoRyHY",0.18,0.15,2,1.5,5e+08,1.5e+09,1e+10,20,60,1,2,4,1.5,2,2.5,NA,NA,NA,NA,2048,2048,2048,2048,"","","","","Yes","Yes","Yes","Yes"
"True","PduNwZqpLoY",0.17,1,9,15,28000,35000,45000,30,65,5,25,50,5.1,8.2,13.5,NA,NA,NA,NA,500,1500,520,600,"","","","","Yes","Yes","Yes","Yes"
"True","PdiiQ4M9J5s",0.04,0.03,5,2.5,1.8e+08,2.3e+08,2.5e+08,95,100,0,1,1,1,1.7,2.5,1e+11,5e+11,5e+09,1e+09,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pws1XzVQDPF",0.8,0.65,2.5,1.3,25000,30000,45000,30,80,0,5,25,1.5,2,3.5,1.5e+07,1.5e+07,3e+05,1e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P7pQJVDUCBm",0.06,0.03,5,3,130000,150000,2e+05,30,80,0,0,0,1,2,3,NA,NA,NA,NA,1e+08,1e+11,1e+05,1e+07,"","","","","Yes","Yes","Yes","Yes"
"True","PyuwfV7ueyq",0.06,0.03,3,1.5,150,280,420,20,28,80,80,85,0.7,0.9,1,1,1,1,1,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PaSR5AiUZfQ",0.04,0.02,10,15,1.5e+08,2.7e+08,4.2e+08,26,38,15.5,20.7,30,2.5,5.5,9.5,NA,NA,NA,NA,1000,10000,10,100,"","","","","Yes","Yes","Yes","Yes"
"True","PXctH55oDPm",76,50,8,8,33000,35000,38000,6.9,6.9,50,50,50,13.9,13.9,13.9,NA,NA,NA,NA,8e+11,8e+10,8e+08,8e+06,"","","","","Yes","Yes","Yes","Yes"
"True","PrdpMLM1Kox",0.03,0.02,5,3,200,300,500,40,60,5,3,2,1.7,1.9,2.2,1000,10000,50,1000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PO5lOrHU9mM",0.04,0.02,4.5,2.3,216000,281000,436000,7.4,13.5,0,0,0,1,1.06,1.07,2e+07,2.5e+07,2000,1.5e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pj46o0WZGML",0.08,0.04,6,3,4e+08,2e+09,1e+10,30,85,2,5,10,1.7,2.4,0.5,20,30,5,7,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P0vyxKRonUq",0.76,0.06,5,3,1.8e+11,2.5e+11,4e+11,30,85,1,5,10,2,2.5,3,NA,NA,NA,NA,1e+05,1e+05,5000,3000,"","","","","Yes","Yes","Yes","Yes"
"True","PCq1b7N7SoY",0.06,0.04,4,1,60,65,85,10,45,0,5,10,1,1.5,2,1e+09,1e+08,5e+07,3.5e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PTiazmklLak",12,8,2,1.4,6e+10,6.7e+10,9.5e+10,30,80,10,7,5,1.5,1.7,0.5,2.5e+07,3.5e+07,5e+06,3e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PeBnKQQqazS",0.04,0.02,4,2,8e+07,1.5e+08,4e+08,89,99,5,15,40,1.8,3.5,5,9e+08,1e+09,8e+06,1.6e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PYPfxFnbSrv",5,3,5,2.2,1.7e+11,2.2e+11,7e+11,90,95,0,0.5,3,1.3,1.7,1.5,9e+05,1200000,50000,2e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PtWhGuZlYGx",0.05,0.045,2,1.3,2.2e+08,3e+08,5e+08,45,80,1,1,3,1.7,2,2.5,1e+05,3e+06,100,2000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PwTtMCm7vCB",0.05,0.05,NA,NA,1e+06,2500000,1e+07,30,95,0.001,0.5,25,1.7,2,3.2,1e+08,1.5e+08,1e+06,5e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PeT0WiiAZUl",0.04,0.03,4,1.5,1.6e+11,2e+11,2.5e+11,70,61,0.001,0.001,0.001,3,5,4,NA,NA,NA,NA,12000,15000,3000,9000,"","","","","Yes","Yes","Yes","Yes"
"True","PO7X31WX2UA",8,5,2.5,1.3,140000,2e+05,350000,30,90,0,5,10,1.1,1.5,2.1,NA,NA,NA,NA,1000,1000,80,300,"","","","","Yes","Yes","Yes","Yes"
"True","P28ZyiuuoY7",0.28,0.18,3,1.5,117000,130000,170000,90,98,1,2,10,1.5,1.7,1.8,15000,3e+07,2048,216,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PVpsBfQGDx0",40000,50000,3,5,20000,3e+05,678888,38,56,30,20,19,39,28,11,NA,NA,NA,NA,1e+05,2000,2909,200,"","","","","Yes","Yes","Yes","Yes"
"True","PRwNoTEod8G",0.05,0.03,3,2,8e+11,2.9e+12,4e+12,30,70,50,70,90,3,5,9,2,2000,2,50000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PbWib0O2fTq",0.05,0.03,5,2,2e+11,3e+11,5e+11,30,100,2,2,2,1.2,1.6,2,1.5e+13,3e+13,1e+08,2e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pm7aN09ePRI",3,3,3.5,3,2e+05,235000,198200,20.5,35,1,4,8,2,2.5,4.5,NA,NA,NA,NA,70000,1e+05,54500,1e+05,"","","","","Yes","Yes","Yes","Yes"
"True","PZE3puRlDvT",0.06,0.03,1.8,0.7,330,660,1320,7,14,0,0,0,2,1.5,1,1.5e+07,1.5e+07,1.5e+07,1.5e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PK5qK5KS8kA",0.04,0.02,5,1.5,7.5e+10,1e+11,5e+11,30,75,1,2,4,2,3,5,NA,NA,NA,NA,10000,1e+05,1000,2000,"","","","","Yes","Yes","Yes","Yes"
"True","PMKzBhSlDS4",0.06,0.06,5,2.5,1.45e+11,2.1e+11,3.7e+11,8,55,0,0,0,2,2,2,1e+17,1e+15,1e+11,1e+11,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PY6OZhyI1uF",3.4e+07,2e+09,25,100,3e+09,7e+09,1e+10,50,90,50,70,90,19,27,50,NA,NA,NA,NA,700,654,1000,500,"","","","","Yes","Yes","Yes","Yes"
"True","PWeAPCbKE0n",0.05,0.02,6.5,1.5,155000,210000,3e+05,90,99,0,2,5,1.5,2,3,1e+09,1e+09,1e+06,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PWcvIgTIYRW",1,2,8,14,80000,90000,99000,10,20,10,30,50,10,11,15,1e+10,1e+07,150000,1e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PIb99H4Rv4g",3,3,1.5,1.2,9e+11,1.1e+12,2e+12,8,40,0,4,5,1.2,1.5,2,10000,1e+05,2e+06,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PCxTZNHBFsx",0.04,0.02,3,1.3,120000,140000,160000,30,50,5,10,15,1.29,1.49,1.99,20,80,10,30,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P6SF1wvasYK",7,6,3,2.5,1.85e+11,303000,5e+05,84,90,0.2,0.5,1,0,-0.25,-0.5,NA,NA,NA,NA,5e+09,1e+10,1e+09,2.5e+09,"","","","","Yes","Yes","Yes","Yes"
"True","PD7RgfjyyI6",0.9,0.3,1.8,0.75,2e+08,2e+09,3e+10,90,97,1,10,50,1.3,2.6,0.4,5e+08,1e+09,4e+07,1e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PkfNL5IicKh",0.03,0.01,6,NA,3e+05,1e+06,1e+08,30,70,9,35,90,1.2,4,20,1,1.5e+07,1,3e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PUw1vCkEbdO",0.06,0.04,2.5,1.5,1.5e+11,2e+11,8e+11,30,80,0,1,1,1.1,1.3,1.5,NA,NA,NA,NA,1e+09,1e+10,10000,1e+09,"","","","","Yes","Yes","Yes","Yes"
"True","PUOzUAUoIrD",33,37,5,6,75000,1e+05,250000,25,30,5,15,50,1.5,2.5,4,NA,NA,NA,NA,1e+08,1e+08,1e+06,5e+05,"","","","","Yes","Yes","Yes","Yes"
"True","P47C0i6e3QU",0.05,0.03,3,1.5,22000,25000,32000,30,60,5,10,15,1.1,1.5,3,1e+06,1e+06,3e+05,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PZwaRHr73wr",0.04,0.02,3,1,2e+11,4e+11,1e+14,7,40,0.001,0.005,0.01,1.2,1.8,2,10000,50000,200,1000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P8NFjUiCaGn",0.04,0.02,4,1.5,1.7e+08,2.5e+08,1e+09,87,97,0,0,1,2,4,6,NA,NA,NA,NA,1e+09,1e+11,1e+06,1e+06,"","","","","Yes","Yes","Yes","Yes"
"True","P0ny1TCAvKB",0.04,0.02,3,1.9,160000,250000,450000,92,100,0.05,0.85,0.99,4,7,3,3,6,2,5,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pry3j9CiRVd",0.6,0.5,6,4,2e+06,1.2e+07,3e+07,46,55,0,0.5,2,1,1.5,1.8,1e+07,1e+08,10,60,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P1rYERhwf4k",0.06,0.03,5,2,3e+07,3.5e+07,5e+07,10,25,1,2,5,1.5,3,5,10000,1e+07,90,1e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PHGp4pFds1I",0.05,0.03,2.4,1.65,1.75e+08,2.1e+08,2.5e+08,85,93,0.2,0.8,3,1.2,1.4,1.8,NA,NA,NA,NA,500,2000,60,140,"","","","","Yes","Yes","Yes","Yes"
"True","PRFWyTfX6rA",150,200,8,15,1e+05,120000,2e+05,7.5,20,0.01,0.1,0.8,2,10,30,5e+07,1e+08,3e+07,8e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PNS85pQ4X2C",0.07,0.04,2.5,1.3,1.5e+08,3e+08,1e+09,30,90,2,5,10,1.4,1.7,2,NA,NA,NA,NA,1e+06,1e+06,2e+05,250000,"","","","","Yes","Yes","Yes","Yes"
"True","PPOlG9fxwDP",0.04,0.02,3,1.3,151800,181800,281800,30,60,0,0,0,1.5,2,3.5,NA,NA,NA,NA,1e+15,1e+09,1e+09,1e+08,"","","","","Yes","Yes","Yes","Yes"
"True","PpRjHzWG7d0",480000,6e+05,8,12,120000,150000,170000,60,75,2,3,5,0.2,0.4,0.7,50000,40000,1450000,1.48e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P5NJDrEZ8eh",1,0.75,2,1.3,1.4e+08,1.58e+08,1.72e+08,30,55,0,0.5,10,1.5,1.75,2,NA,NA,NA,NA,1e+07,2e+07,5e+05,550000,"","","","","Yes","Yes","Yes","Yes"
"True","PiQOLKNb5mQ",0.06,0.04,2,1.5,1.6e+11,2.1e+11,4e+11,30,90,0,0,5,1.2,1.5,2.2,NA,NA,NA,NA,5000,1e+05,1000,50000,"","","","","Yes","Yes","Yes","Yes"
"True","PL8ZpHCSIjf",0.045,0.03,2,1.3,2e+11,3.5e+11,6e+11,30,50,2,7,10,1.4,1.9,2.5,1e+08,2e+08,1e+07,5e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Ppncxaa8Fe6",5,3,8,2,2e+05,2e+06,5e+06,55,75,2,10,30,1.2,1.5,2,NA,NA,NA,NA,10000,1e+08,1e+09,1e+06,"","","","","Yes","Yes","Yes","Yes"
"True","PwrDLt8D876",0.05,0.03,2.5,1.3,1.7e+11,2.2e+11,2.5e+11,90,98,1,5,10,1.2,1.4,1.8,NA,NA,NA,NA,130,1000,70,500,"","","","","Yes","Yes","Yes","Yes"
"True","P4ToEBMNbpT",1,0.5,8,5,5e+08,1e+10,5e+11,12,70,0,0,1,1,1.2,1.4,1e+06,1.5e+07,98,3e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pvi6EKz3Bgu",0.08,0.05,6,2.5,150000,2e+05,5e+05,90,99,5,8,10,1.2,1,0.5,5e+07,1e+07,2e+07,2e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PHvfvu1xLgK",0.05,0.03,5,4,5e+08,6e+08,9e+08,88,95,0.1,0.2,5,1.1,1.5,2.5,NA,NA,NA,NA,1000,10000,20,50,"","","","","Yes","Yes","Yes","Yes"
"True","PiUmeczZTqa",0.7,0.8,2,3,1e+05,125000,150000,17,50,0,1,2,70,72,75,5e+06,5000,10000,5000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PApvQr6bJw9",0.02,0.01,2.9,1.3,2.5e+11,3.5e+11,5e+11,40,90,0.1,0.2,0.5,0.5,1,1.5,9.99e+11,9.99e+11,10000,1e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PfzWtwPo4Nk",0.8,0.75,5,2.5,1.8e+08,2.5e+08,1.4e+09,28,40,0.3,18,55,2,3.5,4.5,15,250,2,80,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PVrQfLnJ7cX",1200,1000,5,5,150,200,450,40,60,1,2,3,1.5,2,2.1,1e+08,5e+07,2e+07,2e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PnCe91O6KKD",0.15,0.3,3,1,23000,30000,35000,25,30,20,25,30,2.1,3,4.2,1.5e+07,1.5e+07,3e+05,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PfMktC80jHN",0.08,0.2,1.3,1.1,5e+05,7e+05,1500000,30,90,4,20,60,2.5,5,8,2e+07,2.5e+08,5e+05,2e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PdkOb7jHb7l",1,0.8,7,3,2.9e+08,4.1e+08,7e+08,60,85,5,2,2,1.5,1.9,2.2,9e+08,2e+11,5e+07,5e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PdyDDKFNjSw",8,3,2.5,1.5,155720,160580,181900,30,65,0,2,5,0.85,0.9,1.1,1e+08,1.5e+08,2e+07,1.2e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PASV25QLT4f",0.06,0.06,3,2,2e+05,3e+05,5e+05,30,60,5,5,5,0.1,0.2,0.3,2e+07,2.5e+07,1e+07,1.5e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PnEgBM0rrux",7,4,5.5,4,1.75e+08,4.5e+08,1.5e+10,28,95,0.3,2,15,1.5,2.5,3,NA,NA,NA,NA,10000,1e+07,9,150,"","","","","Yes","Yes","Yes","Yes"
"True","Ptv4OvsRrRM",0.05,0.02,3,1.3,1.8e+11,5e+11,1.2e+12,88,98,1,4,17,1.15,1.6,2.1,NA,NA,NA,NA,1e+05,250000,18,6000,"","","","","Yes","Yes","Yes","Yes"
"True","POQv4APL71w",0.06,0.03,3,1.3,45000,5e+05,6e+06,21,26,10,9,8,1.5,2,3,12,198,1.1e+22,1.1e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PSbj2xBjkMe",5,3,1.8,1.3,2.22e+11,4.44e+11,5e+12,94,99,1,1,1,1.2,1.6,2.2,NA,NA,NA,NA,2500,5000,1000,2000,"","","","","Yes","Yes","Yes","Yes"
"True","PHxVhbKhqvm",0.04,0.03,3,1.5,220000,3e+05,8e+05,90,96,1,10,25,1.2,1.7,2,1e+08,2e+09,100,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pvebd7L4Vk2",23,21,5,4,30000,45000,40000,7.5,9,1e-05,1e-04,0.001,1.9,2.2,1.5,1e+67,1e+60,1e+08,1e+16,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PGzpaFdmFrn",5,4,7,12,150000,2e+05,3e+05,7,15,0,1,3,2,5,10,NA,NA,NA,NA,5e+05,9e+07,5000,9e+06,"","","","","Yes","Yes","Yes","Yes"
"True","PlcpCISuhXg",0.03,0.03,5,5,1.8e+11,2.3e+11,5e+11,90,100,1e-05,0.001,0.002,1.5,2,3,NA,NA,NA,NA,1e+08,1e+52,100,1e+05,"","","","","Yes","Yes","Yes","Yes"
"True","Pf1gY1yTK52",0.05,0.03,2.5,1.5,260000,6e+06,2e+09,75,95,5,15,35,1.5,2,4,NA,NA,NA,NA,10000,9000,5000,2000,"","","","","Yes","Yes","Yes","Yes"
"True","PWGEhbgMVb3",40,100,4,2,10000,12000,250000,10,12,5,10,15,70,75,120,1e+06,1.5e+07,1e+07,1.5e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Po2wUSJzgGV",0.75,0.65,1.5,1.2,230,370,900,55,95,18,33,68,1.1,1.3,1.4,NA,NA,NA,NA,65,300,150,150,"","","","","Yes","Yes","Yes","Yes"
"True","PMaQQX8GD9q",5,3,8,3,70000,1e+05,150000,30,40,1,1,1,1.5,2,3,NA,NA,NA,NA,2048,2048,2048,2048,"","","","","Yes","Yes","Yes","Yes"
