"Finished","ID","NYTAI","CountryNukeUse_1_1","CountryNukeUse_2_1","CountryNukeUse_3_1","CountryNukeUse_4_1","CountryNukeUse_5_1","CountryNukeUse_6_1","CountryNukeUse_7_1","CountryNukeUse_8_1","CountryNukeUse_9_1","CountryNukeUse_10_1","CountryNukeUse_11_1","CountryNukeUse_12_1","SolarWindEnergy_1_1","SolarWindEnergy_2_1","CO2Cap_1_1","CO2Cap_2_1","Bostrom_1_1","Bostrom_2_1","Bostrom_3_1","GDP115_actual","Extinction_Total","Extinction_AI","GCR_Total","GCR_AI","Extinction_Totalhalf","Extinction_AIhalf","GCR_Totalhalf","GCR_AIhalf"
"True","PHbsqHkEIIT",2055,1,0,0,1,8,1,7,0,1,2,1,98,25,28,2,2.3,10,50,70,0,1e-05,6.7e-06,0.00033,1e-04,NA,NA,NA,NA
"True","PwTtMCm7vCB",2035,2,0,1,1,40,1,20,0,1,3,0.1,99,13,32,0.7,75,2,5,75,100,NA,NA,NA,NA,0.3,0.1,35,12
"True","PASV25QLT4f",2040,0,0,0,0,0,0,0,0,0,0,0,100,10,35,75,87,100,100,100,4,NA,NA,NA,NA,0.002,1e-07,0.049,9e-05
"True","PKMwhAnjQsT",2200,1,0,0,0,0,0,2,0,0,1,0,96,11.5,17.8,1,2,0,25,50,50,0.001,1e-05,0.003,4e-04,NA,NA,NA,NA
"True","Pc7S9GQytQV",2050,1,0.5,0.5,0.5,2,1,1.5,0.5,1,0.5,0.1,92.4,15,25,1e+07,5e+07,10,30,60,60,NA,NA,NA,NA,0.1,0.1,5,1
"True","Pac3iLqteOA",2035,5,1,8,7,10,8,15,1,3,0,1,70,14,23,1,85,15,35,80,45,NA,NA,NA,NA,15,4,35,20
"True","PhRBubtEZI5",2065,0.01,1e-04,1e-04,5e-04,0.02,0.01,0.015,1e-04,1e-04,1e-04,1e-04,0.9999,13.5,21,75,88,0.85,0.88,0.99,0.5,6.7e-09,6.7e-09,6.7e-09,6.7e-09,NA,NA,NA,NA
"True","PIb99H4Rv4g",2049,10,0,0,0,0,0,50,0,30,0,0,10,12,20,90,100,10,30,50,33,NA,NA,NA,NA,9.9e-09,1e-19,1e-07,1e-09
"True","Peo00AHtfnx",2038,1,1,2,2,3,2,2,1,1,1,2,97,13.4,20.3,1,32,5,95,97,99,NA,NA,NA,NA,0.01,0.005,0.5,0.01
"True","PzzQCluHShQ",2050,0,0,0,0,1,0,1,0,1,0,0,99,10.5,12.5,0.01,0.28,1e-07,0.01,0.1,45,NA,NA,NA,NA,1e-07,1e-07,1e-05,1e-05
"True","PPOlG9fxwDP",2100,0,0,0,0,0,0,10,0,0,0,0,90,14,20,0.01,0.08,100,100,100,70,NA,NA,NA,NA,0,0,3,1
"True","PigRGwrg4dh",2030,9,1,2,14,9,1,10,1,8,2,2,9,16,22,1.2,2.3,10,10,10,27,NA,NA,NA,NA,0.01,0.009,0.5,0.3
"True","PYPfxFnbSrv",2033,0.005,0.001,0.03,0.006,0.07,0.04,0.08,1e-04,0.004,0.001,2e-04,99.95,14,20,25,70,0,3,7,0.5,7e-06,1e-09,5e-04,1e-05,NA,NA,NA,NA
"True","P2Vdn8kSpy6",18,20,2,2,20,30,10,40,2,20,2,2,50,20,60,40,85,100,100,100,2e+14,1e-08,1e-08,1e-06,1e-08,NA,NA,NA,NA
"True","P7hGbwnLdGN",2031,0.5,0,0,2,3,2,3,0,2,3,0.001,55,6,12,4,100,20,30,70,39,9.9e-07,9e-07,5e-07,9.9e-07,NA,NA,NA,NA
"True","PfMktC80jHN",2075,32,8,8,22,38,34,56,12,24,12,12,55,19,42,15,90,8,15,29,24,2,1,15,3,NA,NA,NA,NA
"True","PyRdIFnPE8y",2060,1,0.1,1.1,2,4,1.1,3,0.2,0.2,0.1,0.1,87,14,20,0.015,2,1,6,17,25,NA,NA,NA,NA,5e-04,1e-06,0.005,3e-05
"True","PvUcVV3dJ5Z",2030,0.1,0,0,0.01,0.1,0.01,0.1,0,1e-04,0,0,995,35,85,46,800,50,60,70,2,NA,NA,NA,NA,1,0.5,10,2
"True","P1rYERhwf4k",2055,5,1,2,15,20,1,15,1,4,4,0.5,98,14,22,30,95,0,30,100,30,NA,NA,NA,NA,35,2,99,0.5
"True","P4ToEBMNbpT",2040,1,0.1,0.5,1,5,0.5,5,0.5,1,0,0,90,15,18,2,10,1,20,50,90,0,0,1e-05,6.7e-06,NA,NA,NA,NA
"True","PmuAYNBTtsB",2040,50,15,5,10,60,5,60,5,70,20,20,50,18,25,35,85,50,80,100,80,NA,NA,NA,NA,0.01,0.01,10,5
"True","PnCe91O6KKD",2040,10,4,1,9,5,2,10,2,8,0,0,70,20,30,60,100,1,3,5,10,0.4,0.1,2,0.6,NA,NA,NA,NA
"True","PD7RgfjyyI6",2042,1e-09,1e-21,1e-25,1e-09,1e-08,1e-05,1e-05,1e-37,1e-30,1e-47,9.99999999999999e-110,99.9,16,35,17,60,0.1,30,95,70,NA,NA,NA,NA,5e-07,1e-11,0.005,1e-09
"True","PMaQQX8GD9q",20,30,1,6,17,35,10,40,1,3,0,0,25,40,45,35,80,50,70,90,89,NA,NA,NA,NA,0.049,0.049,0.049,0.049
"True","PApvQr6bJw9",2040,35,15,30,40,40,35,40,15,20,10,10,80,40,65,1.5,85,10,20,60,10,NA,NA,NA,NA,1e-05,1e-05,0.001,1e-04
"True","PCq1b7N7SoY",2035,3,1,2,4,4,3,4,1,2,1,1,98,10,25,50,85,5,20,50,30,NA,NA,NA,NA,0.01,0.005,0.05,0.02
"True","Pm7aN09ePRI",2080,7,1,2,10,5,2,8,3,3,0,0,5,13,18,1.2,2.4,8,21,63,23,0.00029,0.00045,0.077,6e-05,NA,NA,NA,NA
"True","PRFWyTfX6rA",2035,0.01,0.01,0.01,0.05,0.1,0.01,0.05,0.01,0.1,0.01,0.03,0.9,25,35,70,80,0,0.001,0.1,10,NA,NA,NA,NA,1e-05,0,1,0.1
"True","P0tPTP4x00v",2026,4,0.02,0.2,3.5,2,1,5,0.01,0.01,1,0.01,97,11.6,23.5,8,12,5,7,41,25,NA,NA,NA,NA,0.08,0.15,7,0.75
"True","PHxVhbKhqvm",2100,2,0,2,3,8,3,5,0,2,0.5,1,80,12,35,0.02,85,1,10,20,2,1e-07,1e-08,0.1,1e-04,NA,NA,NA,NA
"True","P6mt41LgKCq",2035,3,2,2,3,5,2,3,1,1,2,3,97,34,40,30,85,1,21,75,35,NA,NA,NA,NA,0.01,0.01,3,1.5
"True","Pv2PJIDmzbi",2060,15,20,20,30,10,20,10,20,30,10,5,15,35,25,25,15,10,30,45,20,NA,NA,NA,NA,NA,50,30,60
"True","PsdrRhvb1Du",2100,25,8,20,30,50,20,15,8,8,5,5,50,20,40,2e+09,1.5e+09,1,1,1,90,NA,NA,NA,NA,0.5,0.5,25,20
"True","PO7X31WX2UA",2026,25,0,10,5,30,5,10,0,0,5,5,45,12,20,1,85,15,60,100,70,0.05,1e-05,2,0.001,NA,NA,NA,NA
"True","PNS85pQ4X2C",2030,1,1,1,1,1,1,1,1,1,1,1,88,15,30,38,85,25,50,75,95,1e-05,1e-07,0.00033,1e-04,NA,NA,NA,NA
"True","PdkOb7jHb7l",2050,2,0,0.5,0.5,1,0.5,1,0,0,0,0,95,17,30,0.3,4,30,80,0,25,1e-24,1e-17,1e-08,1e-08,NA,NA,NA,NA
"True","P47C0i6e3QU",2030,5,5,30,30,15,5,10,0,15,0,0,20,14.5,22,23,85,20,40,60,20,10,5,5,3,NA,NA,NA,NA
"True","PWGEhbgMVb3",2040,5,0,0,10,20,0,40,0,0,0,0,0,20,25,5,10,5,10,40,10,NA,NA,NA,NA,0.049,0.049,0.46,0.049
"True","PMKzBhSlDS4",2100,40,0,0,0,60,0,60,0,0,0,0,80,13,30,NA,85,50,50,50,100,NA,NA,NA,NA,1e-09,1e-07,5e-04,5e-04
"True","PMwPHSHdDSj",2100,5,1,1,10,10,5,10,1,10,1,1,95,12,25,0.05,5,10,40,90,25,NA,NA,NA,NA,0.002,0.001,5,1
"True","PnEgBM0rrux",2029,0,0,2,0.1,5,3,0.1,0,0,0.8,1,88,11,13,0.05,35,5,99,100,20,NA,NA,NA,NA,7,0.3,18,1.3
"True","Pl3htoWWyJN",2030,6,1,1,2,8,1,4,0.1,1,2,0.1,1,20,25,10,15,3,7,15,40,NA,NA,NA,NA,0.005,0.05,2,0.05
"True","Pf1gY1yTK52",2080,0.1,0.01,0.05,0.3,0.3,0.1,0.05,0.05,0.1,0.4,0.01,0.7,14,25,0.51,1.1,0.12,0.55,0.95,55,NA,NA,NA,NA,0.001,0.1,0.4,0.2
"True","PfzWtwPo4Nk",2039,0,0,0.5,1.5,0.25,0.5,1.5,0,0.25,0.5,1,94,14,23,1.2,2.3,35,75,90,0,15,0.5,85,7,NA,NA,NA,NA
"True","P95S2Bfl4FS",2050,0,0,0,0,10,0,0,0,0,0,0,90,13,24,30,60,3,8,11,80,NA,NA,NA,NA,1e-27,1e-38,1e-18,1e-27
"True","PrW9ghLEuh5",2060,0.2,0.001,0.0015,0.1,0.3,0.09,0.4,0.001,0.007,0,0,0.5,12.1,21.3,5,80,5,20,100,95,NA,NA,NA,NA,0.055,0.07,0.09,0.85
"True","PPLUtBt5R4w",2045,1.5,0.01,0.01,0.05,2,0.01,2,0.01,0.05,0.01,0.01,99,15,30,2,60,0,1e-04,0.001,1,NA,NA,NA,NA,1e-10,1e-14,1e-08,1e-09
"True","PuZdVVBv8tc",2050,10,2,10,45,30,9,40,2,10,2,2,95,15,35,5,30,30,40,50,90,6.7e-07,6.7e-08,6.7e-07,6.7e-07,NA,NA,NA,NA
"True","Pvebd7L4Vk2",2100,1,1,1,5,1,5,2,1,1,1,0.001,95,15,25,0.015,5,1,5,0,50,NA,NA,NA,NA,0,0,0,0
"True","P6QlZ1K0b7e",2050,4,1,1,2,2,1,4,3,5,0,0,60,30,35,10,25,10,15,20,4,NA,NA,NA,NA,0.5,0.039,0.6,0.46
"True","PjxXbkg074N",2030,15,2,2,5,20,2,38,5,10,2,1,1,15,50,73,90,10,35,95,27,NA,NA,NA,NA,15,5,40,30
"True","P1wFpNtd2i4",2049,30,0,5,5,40,5,15,0,0,0,0,0,12,20,1.1e+07,2e+07,50,60,70,100,1.02,3.85,10,0.46,NA,NA,NA,NA
"True","PBP0jyZl8dL",2030,0.1,0.01,0.1,1,0.1,0.1,1,0.1,0.1,0.2,0.2,90,14,20,1,1.6,50,75,95,15,1e-07,1e-08,1e-04,1e-06,NA,NA,NA,NA
"True","PVrQfLnJ7cX",2040,1,0,0,0,1,0,5,0,1,1,1,99,15,20,4,0,0,5,50,80,3e-06,1e-08,6e-06,1e-08,NA,NA,NA,NA
"True","PiouKOyTKKH",2060,20,3,4,5,10,2,8,5,20,2,2,75,13,16,75,85,15,50,70,20,NA,NA,NA,NA,1.02,1.5,4,1
"True","Pov1ebYBMOU",2040,1,1,1,1,2,2,2,1,2,1,1,98,12,15,3,10,60,80,95,70,NA,NA,NA,NA,2,1,20,10
"True","PiBELvmz2z3",1e+210,80,20,30,90,75,50,85,50,75,10,0,50,16,33,1,2.4,100,100,100,90,0,0,5e-04,1e-08,NA,NA,NA,NA
"True","POQv4APL71w",2040,70,40,50,80,60,80,70,60,85,50,40,50,11,20,1,40,60,70,50,50,NA,NA,NA,NA,50,10,50,1.02
"True","PPCevaWvmv5",2050,1,0,1,0,1,3,3,0,0,0,0,0,30,80,1,88,5,40,100,10,5,2,15,2,NA,NA,NA,NA
"True","PigYLRnvHTn",2050,7,1,1,2,5,1,3,1,2,1,1,1,10,12,25,30,25,80,81,100,0,0,65,2,NA,NA,NA,NA
"True","Ple0cQUY2l0",2050,0,0,0,0,0,0,0,0,0,0,0,0,10,12,5,85,0,0,10,25,NA,NA,NA,NA,0.05,0.001,15,1
"True","PUwWxFhNVcy",3100,0,0,10,30,5,30,40,2,40,0,0,99,44,60,20,90,0,10,12,100,NA,NA,NA,NA,0.003,1,4,20
"True","PSWiESo9It7",2030,0,0,0,0,1e-07,0,1e-11,0,0,1e-11,0,100,12,25,4,80,0,2,7,20,1e-13,1e-11,1e-11,1e-10,NA,NA,NA,NA
"True","PO1W0Dqi2Nk",2032,0.003,0.00075,0.00075,0.001,0.006,0.00075,0.004,0.00075,0.003,0,0,0.98,14,21,67,0.7,0.001,0.2,0.8,0.55,0.001,5e-04,5,2,NA,NA,NA,NA
"True","PsTsoek6PUT",2027,56,34,34,76,67,56,67,24,78,45,23,12,13.8,18.4,2,3.2,35,68,89,95,NA,NA,NA,NA,NA,NA,NA,NA
"True","PJtE6mcNxCj",2027,37,20,85,95,90,85,77,10,20,20,35,25,12,15,4,85,100,100,100,50,7,2,7,4,NA,NA,NA,NA
"True","Pp8htGBZ42V",2050,1,0.1,0.1,0.5,1,0.1,2,0.1,2,0.1,3,90,15,30,15,40,5,20,50,25,NA,NA,NA,NA,1e-07,1e-08,1e-04,1e-05
"True","Pce0g3WPqHT",2075,20,0,0,15,50,0,50,0,25,0,0,50,15,22,55,88,50,55,75,45,NA,NA,NA,NA,1e-05,1e-10,1e-06,1e-05
"True","PshlkpQufxz",2055,0.1,0.1,0.5,1,1.5,0.5,2,0.1,2,0.01,0.5,95,15,25,37,85,20,30,40,40,1e-10,1e-14,3,1e-06,NA,NA,NA,NA
"True","PSbj2xBjkMe",2150,1,1,1,1,1,1,1,1,1,1,5,95,18,25,1,85,10,20,30,10,0.001,0.001,0.01,0.005,NA,NA,NA,NA
"True","PqWcCYYQr3B",0,3,0,0,1,5,2,5,0,3,0,0,99,12,22,80,90,50,60,70,80,1e-05,1e-05,1e-05,1e-05,NA,NA,NA,NA
"True","PmE2U3HDzSV",2124,45,50,70,30,35,69,80,45,76,20,10,0,15,24,74,85,100,100,100,85,NA,NA,NA,NA,46,49,49,49
"True","PWeAPCbKE0n",2050,5,1,10,5,20,10,10,1,1,5,10,90,15,25,15,75,5,25,50,20,0.1,0.01,1,0.1,NA,NA,NA,NA
"True","P1RIEw9ISzZ",2045,5,1,2,8,10,2,4,0.5,2,2,2,45,8,20,0.1,85,20,30,80,23,NA,NA,NA,NA,3,0.2,4,0.2
"True","P0ny1TCAvKB",2053,15,0.01,5,10,5,5,12,0.01,0.01,1e-04,1e-04,70,15,54,0.5,7,25,75,100,85,NA,NA,NA,NA,35,20,65,30
"True","PAtl7AT6BHb",2035,50,0,0,75,50,0,75,0,75,0,0,50,15,35,45,80,50,25,5,20,NA,NA,NA,NA,25,0.05,35,5
"True","Pvi6EKz3Bgu",1e+210,0,0,0,0,0,0,0,0,0,0,0,99,4,6.5,0.5,2.5,15,30,45,80,1e-09,1e-11,0.001,1e-07,NA,NA,NA,NA
"True","PlO2nEzlDFn",2050,30,5,15,30,30,10,50,5,25,5,5,25,20,35,0.8,1,30,50,90,10,NA,NA,NA,NA,15,1,10,10
"True","Ptv4OvsRrRM",2041,0.1,0,0,0.1,0.1,0,0.4,0,0.1,0,0,99.2,15,26,2.2,7,17,50,69,45,NA,NA,NA,NA,0.13,0.01,15,1
"True","PxWreTN2NuJ",2027,90,40,20,30,80,10,80,10,80,20,10,0,45,80,50,85,40,60,80,2240,NA,NA,NA,NA,10.2,3.85,3.85,0.46
"True","PYVARDjDafq",2069,3,3,1,1,1,1,7,3,5,1,1,97,15,21,1,2.3,20,40,75,100,NA,NA,NA,NA,0.001,1e-04,0.1,0.1
"True","PTmLNPammOX",2049,10,1,1,3,5,2,5,1,1,4,2,50,10,45,25,85,10,50,80,90,NA,NA,NA,NA,2,2,25,15
"True","PkfNL5IicKh",230,70,15,10,56,50,30,86,30,86,7,7,30,45,69,95,360,20,70,100,100,NA,NA,NA,NA,95,70,70,69
"True","PrPCyZp7fkl",2042,7,5,1,15,11,8,7,2,2,3,5,97,131,184,85,220,3,15,75,5,22,13,7,67,NA,NA,NA,NA
"True","PHGp4pFds1I",2058,1.5,0.01,0.1,1.5,5,1,10,0.05,0.8,2,1,77.04,14,30,0.1,80,10,40,95,20,1.2,0.7,5,3,NA,NA,NA,NA
"True","Pp5GE31PfhI",2038,10,5,10,30,70,30,80,10,30,20,20,10,25,41,10,75,10,50,90,25,6,10,15,8,NA,NA,NA,NA
"True","P7hugIPGDee",2065,5,1,2,6,8,6,8,1,3,2,3,90,12,25,75,90,100,100,100,90,1,1,5,3,NA,NA,NA,NA
"True","Pv9OOmCDs8G",2060,0.5,0.02,4,6,2,6,0.03,0.01,0.03,0.02,0.01,90,14,20,0.5,1.3,5,10,20,80,3e-07,1e-09,5e-05,1e-05,NA,NA,NA,NA
"True","PwrDLt8D876",2030,0.1,0.1,0.1,5,0.1,0.1,5,2,5,0.001,0.1,93,12,18,1,80,5,25,70,10,NA,NA,NA,NA,0.05,0.01,1,0.05
"True","Pns823zNpEm",2040,5,0.5,0.2,15,13,0.01,11,0.2,0.2,0.01,0.01,60,10,18,70,85,75,90,100,20,6.7e-08,6.7e-09,7.7e-06,6e-06,NA,NA,NA,NA
"True","P1EelDibiO2",2070,50,5,0,60,80,10,25,0,80,50,50,0,13,25,100,1000,50,75,100,100,NA,NA,NA,NA,0.5,10,3,30
"True","PlcpCISuhXg",2035,2,1,5,4,5,5,3,1,2,1,0,90,14,24,0.01,10,10,20,50,5,1e-06,1e-25,0.01,1e-06,NA,NA,NA,NA
"True","Plxv9vFF58c",1e+210,0,0,0,0,100,0,0,0,0,0,0,0,13.4,20,0,0,0,1,2,0,0.00453,2.4e-06,9.6e-05,6.7e-06,NA,NA,NA,NA
"True","PvEVUVXwe8v",2040,5,5,2,2,2,2,10,8,14,1,2,8,15,18,10,85,0,3,5,30,NA,NA,NA,NA,49,49,1.02,0.049
"True","PBiOmr6d31j",2051,8,1,4,4,7,5,9,1,3,3,1,97,12,14,1,18,0,1,5,12,NA,NA,NA,NA,3,1,8,2
"True","Pi3GS2ktt2H",2050,20,15,5,15,19,12,25,25,30,14,14,40,3,10,4,6,10,24,35,10,0.1,1,0.1,0.1,NA,NA,NA,NA
"True","P7MWGw9GIkm",2040,3,3,0.5,70,5,8,20,4,15,0.5,0.5,7,15,27,20,85,50,60,30,40,NA,NA,NA,NA,0.4,0.01,20,0.5
"True","PiX09hmMLu5",2025,31,0,0,0,43,12,59,23,27,0,0,0,14.3,20.2,1,2.3,80,100,100,NA,8e-04,2.3e-05,0.0046,5e-05,NA,NA,NA,NA
"True","P1lyU9dv37Z",2075,1e-04,0,1e-05,0,1e-07,1e-05,1e-04,0,1e-04,0,0,0.999999,13,24,0.5,205,30,55,95,95,NA,NA,NA,NA,0.005,5e-05,0.01,0.0067
"True","PHc7abs1CeH",2035,0,0,0,0,1,0,3,0,0,0,0,97,14,25,20,65,5,40,80,90,5,1e-05,15,0.001,NA,NA,NA,NA
"True","PyDf7vLWbGe",2049,25,1,10,30,30,25,30,10,20,1,1,75,15,30,10,85,10,20,30,50,NA,NA,NA,NA,0.1,0.5,5,1
"True","PZwaRHr73wr",2028,2,0,0,0,2,0,5,0,0,1,0,99,15,25,0.3,10,1,5,20,60,NA,NA,NA,NA,0.01,1e-04,1,0.01
"True","PUaWg8Bxz21",2066,1,1,1,1,1,1,1,1,1,1,1,99,13.4,16.7,38,86,0,3,5,1,1e-08,1e-06,1e-05,1.5e-06,NA,NA,NA,NA
"True","PNl5wL64TFX",2049,40,25,32,15,56,72,36,57,29,37,49,61,18,27,45,53,27,34,41,30,0.00033,1e-04,1e-05,0.049,NA,NA,NA,NA
"True","PYeb0elczXn",2065,0.1,0,0.3,0.1,0.4,0.3,0.1,0,0,0,0,98.7,15,20,0.01,25,0.1,0.5,10,0.1,NA,NA,NA,NA,0.5,0.025,2,0.1
"True","PY5KybM5FPN",2040,21,1,2,2,14,4,29,1,1,1,1,23,11.2,18,1,50,1,25,50,50,50,10,10,5,NA,NA,NA,NA
"True","Po2wUSJzgGV",2045,3,1,1,4,2,1,2,1,2,2,2,92,28,35,45,75,80,90,97,25,NA,NA,NA,NA,0.01,0.08,0.1,0.2
"True","PfROGxvG8jS",2040,2,1,1,1,1,1,5,4,5,2,2,99,10,35,5e+06,1e+07,5,10,40,25,0,2,NA,1.01,NA,NA,NA,NA
"True","PwTy20KytmA",2060,3,0,1,3,6,3,7,0,2,3,5,67,10,18,0.5,40,5,25,75,15,NA,NA,NA,NA,0.5,0.05,8,0.1
"True","Pb4CcdUSKmk",2049,0,0,0,0,0,0,0,0,0,0,0,100,15,45,4,85,50,50,50,10,1e-05,1e-07,0.1,0.001,NA,NA,NA,NA
"True","Pk3F1vO3cVs",2035,0,0,1,0,0,1,50,0,0,0,0,40,13,21,10,90,80,100,100,20,0,1e-10,2e-07,0,NA,NA,NA,NA
"True","P849mqKynDs",2057,13,1,1,8,12,11,13,1,13,15,17,60,13.4,22.7,0.41,3.48,34,73,99.4,71,4.7e-06,3.1e-05,2.1e-06,0.00081,NA,NA,NA,NA
"True","P8gjHjJrKpp",2042,0.1,0.05,0.1,0.02,0.1,0.05,0.15,0.01,0.05,0.01,0.01,0.4,18,35,30,75,20,30,40,40,NA,NA,NA,NA,0.02,0.005,0.02,0.005
"True","Pd1zz9vnNmO",2040,3,0.5,1,0.5,2,2,10,0.5,1,0.5,0,89,13.5,20,30,85,50,90,100,100,NA,NA,NA,NA,0.01,0.005,0.025,0.01
"True","PzXffbZc1ub",2030,10,7,3,10,5,17,15,15,20,0,0,0,42,58,55,45,30,33,37,27,1e-18,1.7e-05,7.3e-06,1.23e-05,NA,NA,NA,NA
"True","PNOQohWXQpx",2045,1,0,0,1,1,1,1,0,1,0,0,94,13,20,128,1280,15,35,75,14,1e-11,1e-16,1,5e-06,NA,NA,NA,NA
"True","Ppncxaa8Fe6",2030,5,0,0,10,5,0,20,10,30,20,0,0,12,20,25,40,5,10,50,10,1e-04,1e-05,0.00033,6.7e-06,NA,NA,NA,NA
"True","PpWEjGNqmSy",2030,20,0,5,0,10,2,55,0,50,0,0,50,15,20,1,75,0,0,100,80,1e-06,1e-05,0.001,1e-04,NA,NA,NA,NA
"True","PHvfvu1xLgK",2200,0.9,0.1,1,0.9,1.5,1,3,0.2,0.5,0.01,0.01,90,13,30,0.01,2,1,21,75,10,NA,NA,NA,NA,0.001,7e-04,0.1,0.07
"True","Psp3J8DeFqz",2029,2,0.5,2,1.5,1.5,2,4.5,0.1,1.5,0.01,0.5,95,14,25,0.5,15,7,35,80,2,4.5,3,7,5,NA,NA,NA,NA
"True","PxeyxatD502",2030,1,0.1,0.1,2,1,0.5,2,0.5,0.5,0.5,0.5,90,11,20,0.01,1,5,10,15,70,6.7e-08,6.7e-09,1e-06,1e-06,NA,NA,NA,NA
"True","PXf4YLkGKPL",2051,49,1,51,59,50,51,29,1,1,1,1,99,13.8,24.5,1,2.2,1,2,33,99,NA,NA,NA,NA,1e-05,1e-06,1e-06,1e-07
"True","PewCd1TYTl6",2049,20,5,30,5,10,5,15,5,30,5,5,50,13,19,30,85,0,0,0,0,NA,NA,NA,NA,1e-05,1e-06,0.02,0.01
"True","P7omHY3ct0n",2032,20,10,5,20,25,5,30,5,15,10,15,60,12,20,1,2,1,21,75,80,0.1,0.01,10,6,NA,NA,NA,NA
"True","PPebVkRuOMU",2060,2,0.1,0.05,1,1.5,1.5,5,5,8,1,1,10,14,24,66,75,5,25,55,2,5e-04,5e-06,0.005,5e-05,NA,NA,NA,NA
"True","P80EKmlrlyF",2045,75,20,15,70,85,13,90,10,45,10,3,0,40,65,45,60,65,78,91,25,NA,NA,NA,NA,NA,NA,NA,NA
"True","PSfoxPsAQ5k",2025,21,31,44,12,51,51,82,73,36,21,20,18,3,4,12,25,2,31,35,34,45,52,55,65,NA,NA,NA,NA
"True","PAv0MZqR0eM",2049,1,1,1,1,3,1,2,1,2,1,2,97,13,22.5,30,60,2,50,98,2045,33,30,60,55,NA,NA,NA,NA
"True","PpKB3TeB1br",2100,5,1,1,5,10,5,10,1,1,5,5,90,15,25,0.1,5,10,70,95,5,NA,NA,NA,NA,5,2,30,10
"True","PFXnBLumyjq",2050,1,0,1,1,1,1,2,0,0,1,2,90,15,25,85,90,5,25,50,35,1e-04,1e-06,0.001,1e-06,NA,NA,NA,NA
"True","PM8kZKBdEFh",2050,10,0,20,20,10,20,30,0,0,0,0,50,15,21,0.01,1.01,0,0,5,0,NA,NA,NA,NA,0.5,0,10,0
"True","P61hIJf7NIC",2027,0,0,0,95,0,0,25,0,15,0,0,0,12,60,0.5,50,0,15,65,100,NA,NA,NA,NA,12,0.001,40,1e-04
"True","PTzmcTo8HLY",2500,2,2,2,20,1,2,2,2,4,3,0,60,10,8,30,85,0.5,1,1.5,5,NA,NA,NA,NA,0.46,0.2,5,2.5
"True","PiQOLKNb5mQ",2065,0,0,0,0,0,0,0,0,0,0,0,100,13,19,0.2,85,0,0,5,30,NA,NA,NA,NA,1,0.001,10,1
"True","PHBNc5GPxDQ",2028,2,0.1,2,5,3,2,5,0.2,1,0.01,0.01,95,16,25,0.01,5,10,50,0,100,NA,NA,NA,NA,0.1,0.001,1,0.01
"True","PONFw0xdZo7",2050,0.1,0.1,2,1,2,3,10,0.1,0.1,2,2,25,15,30,1,2,0.1,1,1,70,1e-05,6.7e-06,0.46,6.7e-06,NA,NA,NA,NA
"True","PyQ1nm0OscF",2050,0,1,0,3,4,3,5,1,1,1,0,95,25,40,1,85,2,20,50,75,5e-07,3e-07,9e-07,1e-06,NA,NA,NA,NA
"True","PQQKAsNWko8",2025,68,43,32,90,90,40,70,20,35,1,1,2,15,17,85,980,100,100,100,40,1e-05,2,0.46,1.02,NA,NA,NA,NA
